2025-07-30 13:36:55 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-30 13:37:01 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: calculo_final.py
2025-08-04 15:34:34 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:34:38 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:34:52 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-08-04 15:34:59 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-08-04 15:35:03 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-08-04 15:35:05 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-08-04 15:35:10 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-08-04 15:35:16 | IP: 192.168.101.91 | CNPJ: 11.111.111/1111-11 | Ano: 2025 | Arquivo: calculo_final.py
2025-08-04 15:40:09 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:40:15 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:41:56 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:42:02 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:42:18 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-08-04 15:42:35 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-08-04 15:42:59 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-08-04 15:43:10 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-08-04 15:43:19 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-08-04 15:43:25 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: calculo_final.py
2025-08-04 15:49:05 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-08-04 15:49:10 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-08-04 15:49:21 | IP: 192.168.101.91 | CNPJ: 13.338.734/0001-27 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
